Student_ID,First_Name,Last_Name,Math,Physics,Chemistry,Biology,English,History,Attendance,Birth_Date,Average_score,Performance
77,Hassan,Ali,96.0,0.0,34.0,45.0,87.0,52.0,88.0,26-11-2004,52.333333333333336,Low
1027,Ahmed,Salem,44.0,12.0,12.0,73.0,53.0,0.0,88.0,06-11-2001,32.333333333333336,Low
44,Hassan,Ali,87.0,47.0,55.0,0.0,53.0,66.0,83.0,09-03-2005,51.333333333333336,Low
667,Khaled,Salem,44.0,0.0,0.0,77.0,85.0,85.0,60.0,19-09-2002,48.5,Low
530,Nour,Fathy,11.0,23.0,2.0,100.0,72.0,15.0,100.0,11-11-2002,37.166666666666664,Low
102,Ahmed,Said,9.0,0.0,41.0,0.0,26.0,33.0,83.0,12-03-2004,18.166666666666668,Low
909,Omar,Ibrahim,45.0,60.0,99.0,79.0,88.0,36.0,100.0,13-05-2001,67.83333333333333,Medium
278,Omar,Said,25.0,82.0,72.0,48.0,83.0,16.0,85.0,17-04-2003,54.333333333333336,Low
778,Fatma,Mahmoud,6.0,65.0,26.0,47.0,62.0,84.0,88.0,08-05-2005,48.333333333333336,Low
454,Ahmed,Tarek,81.0,14.0,12.0,82.0,21.0,27.0,96.0,18-03-2004,39.5,Low
64,Nour,Said,75.0,76.0,35.0,31.0,60.0,100.0,58.0,28-06-2004,62.833333333333336,Medium
948,Mona,Hegazy,96.0,4.0,98.0,12.0,16.0,13.0,53.0,29-08-2001,39.833333333333336,Low
351,Youssef,Unknown,3.0,96.0,48.0,70.0,51.0,46.0,82.0,10-05-2005,52.333333333333336,Low
523,Laila,Said,40.0,89.0,73.0,0.0,90.0,93.0,98.0,17-12-2003,64.16666666666667,Medium
908,Sara,Mostafa,40.0,79.0,20.0,79.0,72.0,44.0,81.0,29-03-2003,55.666666666666664,Low
673,Khaled,Mostafa,90.0,62.0,73.0,94.0,73.0,42.0,71.0,04-03-2002,72.33333333333333,Medium
399,Hassan,Hegazy,50.0,75.0,30.0,19.0,89.0,64.0,84.0,05-04-2001,54.5,Low
826,Nour,Ibrahim,58.0,53.0,34.0,35.0,88.0,0.0,76.0,23-04-2004,44.666666666666664,Low
362,Nour,Ali,19.0,46.0,26.0,2.0,92.0,6.0,75.0,11-11-2005,31.833333333333332,Low
794,Unknown,Tarek,94.0,10.0,57.0,32.0,29.0,68.0,92.0,01-12-2002,48.333333333333336,Low
934,Ahmed,Tarek,90.0,80.0,50.0,74.0,84.0,0.0,57.0,08-07-2004,63.0,Medium
